trigger_pattern,source,cause,action,remedy
Status 1: node alarm,"Sungrow LC200/LC300 fault & alarm guide, 8-1-2-7",A node configured as an alarm type is open or closed against its expected state.,"Alarm reported, plus whatever the node is configured to trigger.","Check against the node fault/alarm list, then treat as a node fault: the node device itself, a poor contact giving a false report, or damaged controller hardware."
Firefighting system,"Sungrow LC200/LC300 fault & alarm guide, 8-1-1-12 / 8-1-2-27",Any of: a fire dry-node whose configuration and actual state disagree; the composite detector reporting abnormal; the combustible-gas detector reporting a level 1 or 2 concentration alarm.,"Fault reported, system stops.","Find which of the three actually triggered and work that one. The detector-and-gas-release alarm is a collection: fire probe tube signal, aerosol trigger, fire system alarm, fire system fault, gas release, smoke and temperature detectors, composite detector alarm or its comms alarm, gas concentration alarm, gas detector alarm or its comms alarm."
combustible gas,"Sungrow LC200/LC300 fault & alarm guide, 8-1-2-16 / 8-1-1-12",The combustible-gas detector reports a level 1 or level 2 concentration alarm.,Rolled into the firefighting system fault — system stops.,Treat as a real gas event until proven otherwise. Then follow the general sub-device alarm handling: verify the detector itself and its communication before assuming the reading is false.
dry node,Site practice — Tashkent (measured over six months),"A general input signal on the BSC. It is raised beside the fault that actually occurred rather than naming one: of 5,668 occurrences only 2% had no other alarm on the same block at the same time.",Reported as a fault; the hours it accumulates largely duplicate those of the fault it accompanies.,"Do not work this alarm on its own. Look at what else was alarming on the block at the same moment — most often a BSC-PCS communication fault, and in about one case in ten the firefighting system. Where it truly stands alone it is the only evidence there is, and then it is worth investigating."
CMU Fault: Cell undervoltage fault,Sungrow BSC200/300 fault & alarm handling table (电芯欠压故障),,,"1.Check whether the voltage sampling cables are disconnected. 2.Set the device to maintenance mode and charge the battery system according to the system operation manual. 3.If the fault persists, please contact Sungrow Customer Service."
CMU Fault: Cell overvoltage fault,Sungrow BSC200/300 fault & alarm handling table (电芯过压故障),,,"1.Check whether the voltage sampling cables are disconnected. 2.Check whether cell overvoltage threshold is correct according to the fault threshold table. 3.If the fault persists, please contact Sungrow Customer Service."
CMU Fault: Total overvoltage fault,Sungrow BSC200/300 fault & alarm handling table (总压过压故障),,,"1.Check whether the actual BMU value is consistent with the set BMU value. 2.Check whether the total overvoltage threshold is correct according to the fault threshold table. 3.If the fault persists, please contact Sungrow Customer Service."
CMU Fault: Total undervoltage fault,Sungrow BSC200/300 fault & alarm handling table (总压欠压故障),,,"1.Check whether the actual BMU value is consistent with the set BMU value. 2.Check whether the total undervoltage threshold is correct according to the fault threshold. 3.Set the device to maintenance mode and charge the battery system according to the system operation manual. 4.If the fault persists, please contact Sungrow Customer Service."
CMU Fault: Cell low temperature fault,Sungrow BSC200/300 fault & alarm handling table (电芯低温故障),,,"1.When the ambient temperature is low, check whether the liquid cooling unit is heated normally, and control the liquid cooling unit to run according to its troubleshooting manual. 2.Under extreme low temperature conditions, heating will last for more than 48 hours, and the alarm will automatically disappear after the temperature rises. 3.If the fault persists, please contact Sungrow Customer Service."
CMU Fault: Cell overtemperature fault,Sungrow BSC200/300 fault & alarm handling table (电芯过温故障),,,"1.Check whether the liquid cooling unit is running normally according to its operation manual. Restart the liquid cooling unit after confirming that there is no exception. 2.If the alarm persists, please contact Sungrow Customer Service."
CMU Fault: Cell temperature difference,Sungrow BSC200/300 fault & alarm handling table (电芯温差故障),,,"1.Check whether the liquid cooling unit is running normally according to its operation manual. Restart the liquid cooling unit after confirming that there is no exception. 2.If the fault persists, please contact Sungrow Customer Service."
CMU Fault: Cell voltage difference,Sungrow BSC200/300 fault & alarm handling table (电芯压差故障),,,"1.Check whether the cell SOC is balanced (maintain the battery system refer to the product manual if SOC is unbalanced). 2.If the fault persists, please contact Sungrow Customer Service."
CMU Fault: Pack voltage difference,Sungrow BSC200/300 fault & alarm handling table (Pack压差故障),,,"1.Check whether the actual BMU number is the same as the set BMU number. 2.Check whether the fault threshold is correct based on the fault threshold table. 3.Check whether the cell SOC is balanced (maintain the battery system refer to the product manual if SOC is unbalanced). 4.If the fault persists, please contact Sungrow Customer Service."
CMU Fault: Voltage sample fault,Sungrow BSC200/300 fault & alarm handling table (电压采集故障),,,"1.Check whether the communication wirings and connectors between BMUs are normal. 2.Check whether the communication wirings and connectors between CMU and BMU are normal. 3.Check whether the BMU board is normal. Adjust the adjacent BMU board and check whether the fault follows the BMU. 4.If the fault persists, please contact Sungrow Customer Service."
CMU Fault: Temperature sample fault,Sungrow BSC200/300 fault & alarm handling table (温度采集故障),,,"1.Check whether the communication wirings and connectors between BMUs are normal. 2.Check whether the communication wirings and connectors between CMU and BMU are normal. 3.Check whether the BMU board is normal. Adjust the adjacent BMU board and check whether the fault follows the BMU. 4.If the fault persists, please contact Sungrow Customer Service."
CMU Fault: Current sampling over limit,Sungrow BSC200/300 fault & alarm handling table (电流采集故障),,,"1.Check whether the shunt collection wirings are normally connected. 2.Replace the CMU Board to check whether current acquisition is restored. 3.If the fault persists, please contact Sungrow Customer Service."
CMU Fault: CMU-BMU communication fault,Sungrow BSC200/300 fault & alarm handling table (CMU-BMU通信故障),,,"1.Check whether the communication wirings and connectors between BMUs are normal. 2.Check whether the communication wirings and connectors between CMU and BMU are normal. 3.Check whether the BMU board is normal. Adjust the adjacent BMU board and check whether the fault follows the BMU. 4.If the fault persists, please contact Sungrow Customer Service."
CMU Fault: Short circuit fault,Sungrow BSC200/300 fault & alarm handling table (短路故障),,,1.Please contact Sungrow Customer Service(+86 - 400 119 7799).
Software version fault,Sungrow BSC200/300 fault & alarm handling table (软件版本故障),,,"1.Check whether the battery parameters are programmed. 2.If the fault persists, please contact Sungrow Customer Service."
CMU - CMU ALARM,Sungrow BSC200/300 fault & alarm handling table (CMU告警),,,"1.Identify the specific Alarm according to CMU Alarm list. 2.If the alarm persists, please contact Sungrow Customer Service(+86 - 400 119 7799)."
CMU-SMU communication fault,Sungrow BSC200/300 fault & alarm handling table (BSC-CMU通信故障),,,"1.Check whether the CMU is normally powered. 2.Check the wiring of the signal cable according to the operation manual. 3.Check whether the address of CMU configured via BSC is correct. 4.If the alarm persists, please contact Sungrow Customer Service(+86 - 400 119 7799)."
System Fault Status: CMU fault,Sungrow BSC200/300 fault & alarm handling table (CMU故障),,,"1.Identify the specific fault according to CMU fault list. 2.If the fault persists, please contact Sungrow Customer Service(+86 - 400 119 7799)."
Rack quantity protection,Sungrow BSC200/300 fault & alarm handling table (Rack数量保护),,,"1.Check whether there is a rack fault and troubleshoot it according to the “CMU fault alarm” list. 2.Check whether the total Rack differential pressure is too large. 3.If the fault persists, please contact Sungrow Customer Service(+86 - 400 119 7799)."
Low battery insulation impedance,Sungrow BSC200/300 fault & alarm handling table (绝缘漏电故障),,,"1.Measure the real insulation resistance of the battery system to ground to see if there is a false report. 2.Check whether the isulation protection for the power leakage circuit and the sampling circuit is damaged. 3.If the fault persists, please contact Sungrow Customer Service."
Battery polarity reversed,Sungrow BSC200/300 fault & alarm handling table (极性反接故障),,,"1.Check whether the positive and negative poles of the system power circuit are connected in reverse. 2.If the fault persists, please contact Sungrow Customer Service)."
Module temperature is too high,Sungrow BSC200/300 fault & alarm handling table (DCDC温度过高故障),,,"1.Troubleshoot according to the “DCDC Fault Alarm” list. 2.If this alarm persists, please contact Sungrow Customer Service(+86 - 400 119 7799)."
System Fault Status: DCDC fault,Sungrow BSC200/300 fault & alarm handling table (DCDC故障),,,"1.Handle this problem according to DCDC operation instructions. 2.If the fault persists, please contact Sungrow Customer Service(+86 - 400 119 7799)."
Low voltage power supply circuit,Sungrow BSC200/300 fault & alarm handling table (低压供电回路故障),,,1.Please contact Sungrow Customer Service(+86 - 400 119 7799).
Fault Status 1: Islanding protection,Sungrow BSC200/300 fault & alarm handling table (孤岛保护),,,"1.Check whether the grid power supply is normal. 2.Check whether the AC cable is firmly in place. 3.Check whether the AC cable is connected to the correct terminal. 4.Check whether the AC circuit breaker is closed. 5.If the fault persists, please contact Sungrow Customer Service(+86 - 400 119 7799)."
SCU-DSP comm exception,Sungrow BSC200/300 fault & alarm handling table (SCU-DSP通信异常),,,"1.Check the communication cable between the SCU and the DSP. 2.If the fault persists, please contact Sungrow Customer Service(+86 - 400 119 7799)."
LCD-DSP comm fault,Sungrow BSC200/300 fault & alarm handling table (LCD-DSP故障),,,1.Please contact Sungrow Customer Service(+86 - 400 119 7799).
Fault Status 1: Fan 1 fault,Sungrow BSC200/300 fault & alarm handling table (风扇故障),,,"1.Wait for the system to return to normal. 2.Disconnect the AC test switch and DC switch. If there is a battery, the switch on the battery side must be switched off. Wait 15 minutes, then close the AC and DC switches in turn, and restart the system. If the fault persists, please contact the Customer Service(+86 - 400 119 7799)."
Fault Status 1: AC under frequency,Sungrow BSC200/300 fault & alarm handling table (交流欠频),,,"1.Check the grid frequency. 2.If the grid frequency is lower than the permissible range, ask utility grid company for solution."
Fault Status 1: AC over frequency,Sungrow BSC200/300 fault & alarm handling table (交流过频),,,"1.Check the grid frequency. 2.If the grid voltage exceeds the inverter permissible range, ask utility grid company for solution."
Fault Status 1: AC under voltage,Sungrow BSC200/300 fault & alarm handling table (交流欠压),,,"Generally, the machine will reconnect to the grid when the grid voltage returns to normal: 1.Measure the actual grid voltage. If the grid voltage is lower than the set value, please contact the power company. 2.Check whether the protection parameters are correctly set. 3.Check whether the AC cable is firmly in place if the grid voltage is normal. 4.If the fault persists, please contact Sungrow Customer Service(+86 - 400 119 7799)."
Fault Status 1: AC over voltage,Sungrow BSC200/300 fault & alarm handling table (交流过压),,,"Generally, the machine will reconnect to the grid when the grid returns to normal: 1.Measure the actual grid voltage. If the grid voltage is higher than the set value, please contact the power company. 2.Check whether the protection parameters are correctly set. 3.If the fault persists, please contact Sungrow Customer Service(+86 - 400 119 7799)."
Fault Status 1: DC over voltage,Sungrow BSC200/300 fault & alarm handling table (直流过压),,,"Normally, the machine will reconnect to the grid when the DC voltage returns to normal. If the fault repeatedly occurs (If the busbar voltage exceeds 1650V, the input side switch will be locked. To check and reset the switch, switch off the machine manually.): 1.Check whether the battery voltage is higher than the maximum allowable voltage. If so, the fault occurs because of battery failure. 2.Check the protection parameter settings. 3.If the fault persists, please contact Sungrow Customer Service(+86 - 400 119 7799)."
Fault Status 1: DC under voltage,Sungrow BSC200/300 fault & alarm handling table (直流欠压),,,"Generally, the machine will reconnect to the grid when the DC voltage returns to normal. If the fault repeatedly occurs: 1.Check whether the battery voltage is lower than the minimum allowable voltage. If so, the fault occurs because of insufficient battery voltage. 2.Check the protection parameter settings. 3.If the fault persists, please contact Sungrow Customer Service(+86 - 400 119 7799)."
Midpoint potential,Sungrow BSC200/300 fault & alarm handling table (中点电位偏移),,,"1.Wait for the PCS to return to normal. 2.If the fault persists, please contact Sungrow Customer Service(+86 - 400 119 7799) to manually power down the machine and clear the fault."
Soft start fault,Sungrow BSC200/300 fault & alarm handling table (软启动故障),,,"1.Reboot the machine. 2.If the fault persists, please contact Sungrow Customer Service(+86 - 400 119 7799)."
DC component fault,Sungrow BSC200/300 fault & alarm handling table (直流分量故障),,,"1.The PCS will restart automatically after failure shutdown. 2.If this fault occurs frequently, please contact Sungrow Customer Service(+86 - 400 119 7799)."
Module over temperature,Sungrow BSC200/300 fault & alarm handling table (模组过温),,,"Generally, the machine will reconnect to the gird when the module temperature returns to normal. If the fault repeatedly occurs: 1.Check whether the ambient temperature of the PCS is excessively high. 2.Check whether the device is placed in a well-ventilated place. 3.Check whether the machine is exposed to direct sunlight. Shield the machine if it is under direct sunlight. 4.Check whether the fan is running properly. Replace the fan if necessary. 5.If the fault persists, please contact Sungrow Customer Service(+86 - 400 119 7799)."
Bus average under voltage,Sungrow BSC200/300 fault & alarm handling table (母线平均值欠压),,,"If the fault occurs repeatedly, please contact Sungrow Customer Service."
DCDC - Fault Status,"Sungrow BSC/DCDC guide, 5-2-2 DCDC fault-code decoding; 8-2-2-5","The BSC records a DCDC fault only down to the major fault class, never the sub-fault. The DCDC alarm is raised when some but not all DCDCs in a battery unit are faulted; when every one is, it becomes a fault instead.",Alarm reported; clears by itself once every DCDC in the unit is healthy again.,To read the BSC record: convert the DCDC fault code to binary — each bit is one major fault class — and take the DCDC fault position as the highest index among the faulted units. Code 3 (0011) with position 4 means that among the first four DCDCs something reported a battery fault and a system fault; code 35 (0010 0011) with position 7 adds a battery alarm among the first seven. Then work the DCDC itself — the BSC entry alone does not name the sub-fault.
BSC-DCDC communication,"Sungrow BSC/DCDC guide, 8-2-2-9",Any DCDC in the battery unit has lost communication with the BSC.,Alarm reported; clears when every DCDC in the unit is back.,"Check the DCDC is powered. Check the communication cabling per the manual, and that the DCDC addresses configured in the BSC are right; log into the BSC with xshell and ping the DCDC. Recorded case: repeated alarms on the 1# DCDC of every cabin turned out to be its DSP losing power, so the ARM kept resetting and the DCDC kept restarting — the supply breaker for that DCDC had been switched off on site because circulating current from disabled SOC balancing was draining it into the others. Restoring the supply ended the alarms."
DCDC quantity protection,"Sungrow BSC/DCDC guide, 8-1-1-22",Fewer DCDCs are online than the configured minimum.,"Fault reported, system stops.",First check the setting itself — the configured minimum may be higher than the number of DCDCs actually installed. Then check DCDC-to-BSC communication for anything that has dropped a unit offline. Only if setting and network are both sound is the DCDC itself at fault.
